Date,Warehouse,Order_Demand,holiday_boolean
2012-01-01,Whse_C,0,1.0
2012-01-02,Whse_C,0,0.0
2012-01-03,Whse_C,275137,0.0
2012-01-04,Whse_C,204000,0.0
2012-01-05,Whse_C,298318,0.0
2012-01-06,Whse_C,154948,0.0
2012-01-07,Whse_C,0,0.0
2012-01-08,Whse_C,0,0.0
2012-01-09,Whse_C,321029,0.0
2012-01-10,Whse_C,349916,0.0
2012-01-11,Whse_C,483582,0.0
2012-01-12,Whse_C,166055,0.0
2012-01-13,Whse_C,148058,0.0
2012-01-14,Whse_C,0,0.0
2012-01-15,Whse_C,0,0.0
2012-01-16,Whse_C,321488,1.0
2012-01-17,Whse_C,18122,0.0
2012-01-18,Whse_C,458000,0.0
2012-01-19,Whse_C,119636,0.0
2012-01-20,Whse_C,222512,0.0
2012-01-21,Whse_C,0,0.0
2012-01-22,Whse_C,0,0.0
2012-01-23,Whse_C,0,0.0
2012-01-24,Whse_C,0,0.0
2012-01-25,Whse_C,0,0.0
2012-01-26,Whse_C,0,0.0
2012-01-27,Whse_C,0,0.0
2012-01-28,Whse_C,0,0.0
2012-01-29,Whse_C,0,0.0
2012-01-30,Whse_C,279423,0.0
2012-01-31,Whse_C,424942,0.0
2012-02-01,Whse_C,378500,0.0
2012-02-02,Whse_C,897005,0.0
2012-02-03,Whse_C,560573,0.0
2012-02-04,Whse_C,0,0.0
2012-02-05,Whse_C,0,0.0
2012-02-06,Whse_C,3516009,0.0
2012-02-07,Whse_C,311689,0.0
2012-02-08,Whse_C,15774,0.0
2012-02-09,Whse_C,805728,0.0
2012-02-10,Whse_C,164002,0.0
2012-02-11,Whse_C,0,0.0
2012-02-12,Whse_C,0,0.0
2012-02-13,Whse_C,163153,0.0
2012-02-14,Whse_C,163313,1.0
2012-02-15,Whse_C,469829,0.0
2012-02-16,Whse_C,48985,0.0
2012-02-17,Whse_C,325168,0.0
2012-02-18,Whse_C,0,0.0
2012-02-19,Whse_C,0,0.0
2012-02-20,Whse_C,668314,1.0
2012-02-21,Whse_C,304234,0.0
2012-02-22,Whse_C,803636,0.0
2012-02-23,Whse_C,458389,0.0
2012-02-24,Whse_C,96252,0.0
2012-02-25,Whse_C,0,0.0
2012-02-26,Whse_C,0,0.0
2012-02-27,Whse_C,447317,0.0
2012-02-28,Whse_C,174000,0.0
2012-02-29,Whse_C,195104,0.0
2012-03-01,Whse_C,280791,0.0
2012-03-02,Whse_C,297985,0.0
2012-03-03,Whse_C,0,0.0
